dia,t_total,t_prueba1,t_prueba2,rechaza,llora,toca,prueba,consume,valence_inicio,arousal_inicio,valence_p1_before,valence_p1_during,valence_p1_after,valence_p2_before,valence_p2_during,valence_p2_after,arousal_p1_before,arousal_p1_during,arousal_p1_after,arousal_p2_before,arousal_p2_during,arousal_p2_after,valence_final,arousal_final,comentarios,id,dia_original,dia_num,fase_dia,valence_mean,arousal_mean,valence_delta,arousal_delta,valence_p1_delta,valence_p2_delta,arousal_p1_delta,arousal_p2_delta,aceptacion_score,va_missing_count,tiene_nota_tecnica,texto_limpio,lex_rechazo_activo,lex_rechazo_activo_score,lex_malestar_emocional,lex_malestar_emocional_score,lex_aceptacion,lex_aceptacion_score,lex_exploracion,lex_exploracion_score,lex_intervencion_adulto,lex_intervencion_adulto_score,lex_autonomia,lex_autonomia_score,lex_problema_datos,lex_problema_datos_score,lex_net_acceptance,score_negacion,sentiment_label,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_score,cond_gira_cara,cond_usa_manos,cond_llora_malestar,cond_juega_alimento,cond_autonomo,cond_adulto_interviene,cond_formato_entero,cond_formato_papilla,cond_video_problema,cond_segunda_prueba,cond_ambivalente
1,10.46,1.13,8.2,0,0,0,1,1,0.08405376,0.2255208,0.09441809,0.1022853,0.1080924,0.3720615,0.3926333,0.391042,0.2234594,0.195923,0.3346977,0.9242651,0.9213004,0.9128283,0.3323967,0.7401251,,ID1,1,1,sin_fase,0.234622881,0.559764975,0.24834294,0.5146043,0.01367431,0.0189805,0.1112383,-0.0114368,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,15.3,5.22,11.3,0,0,0,1,1,0.3908818,0.99,0.1843787,0.1882534,0.1647963,0.2545249,0.423415,0.4017346,0.4034928,0.3547187,0.3430513,0.4445051,0.4445051,0.5769013,0.08836943,0.8983873,,ID1,2,2,sin_fase,0.262044266,0.5569452,-0.30251237,-0.0916127,-0.0195824,0.1472097,-0.0604415,0.1323962,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,22.16,1.3,8.63,0,0,0,1,1,0.07238618,0.4942,0.2045702,0.2114169,0.1503108,0.2319496,0.1753488,0.1531668,0.5098959,0.5866342,0.611978,0.8739771,0.8582032,0.828491,0.08091492,0.7747631,,ID1,3,3,sin_fase,0.160008025,0.692267812,0.00852874,0.2805631,-0.0542594,-0.0787828,0.1020821,-0.0454861,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
4,24.39,1.03,10.16,0,0,0,1,1,,,,,0.09573639,0.3477081,0.2666226,0.2220472,,,0.7446055,0.5633453,0.544176,0.5222596,0.1144895,0.6568707,"Sólo lo consume la 1ra vez, 2da sólo pruba",ID1,4,4,sin_fase,0.209320758,0.60625142,,,,-0.1256609,,-0.0410857,1,6,False,"sólo lo consume la 1ra vez, 2da sólo pruba",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,1,0
5,30.03,2.86,11.2,0,0,0,1,0,0.2773033,0.4484542,0.1709458,0.1388011,0.1257162,0.1036592,0.2232294,0.2665612,0.5601063,0.6002448,0.564554,0.6695504,0.6344402,0.6132188,0.06961995,0.7081411,,ID1,5,5,sin_fase,0.171979519,0.599838725,-0.20768335,0.2596869,-0.0452296,0.162902,0.0044477,-0.0563316,0.5,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6,18.06,1.66,14.13,0,0,0,1,1,0.1244056,0.5328459,0.2663437,0.2912281,0.2975391,0.2320191,0.2654485,0.3005217,0.5836411,0.6716871,0.6628507,0.6208102,0.5414373,0.4710835,,,,ID1,6,6,sin_fase,0.2539294,0.5834794,,,0.0311954,0.0685026,0.0792096,-0.1497267,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7,24.56,2.13,15.73,0,0,0,1,1,0.3937583,0.903175,0.3061714,0.25008,0.2142682,0.2057492,0.1590829,0.1238653,0.9534001,0.9408424,0.9150357,0.6010894,0.5773733,0.6254344,0.3708604,0.7599266,Lo consume sólo la 2da vez,ID1,7,7,sin_fase,0.252979463,0.784534612,-0.0228979,-0.1432484,-0.0919032,-0.0818839,-0.0383644,0.024345,1,0,False,lo consume sólo la 2da vez,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,1,0
8,16.13,3.26,11.73,0,0,0,1,1,0.1621977,0.409075,0.2678629,0.2273164,0.1573585,0.08475626,0.09292223,0.09057581,0.6025187,0.5727664,0.5449232,0.6113518,0.6720524,0.6548849,,,,ID1,8,8,sin_fase,0.154712829,0.581081771,,,-0.1105044,0.00581955,-0.0575955,0.0435331,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
9,33.16,2.63,7.33,0,0,0,1,0,0.2405797,0.5592167,0.1962457,,,0.1587108,0.1321259,0.1290923,0.6621498,,,0.5703002,0.5519403,0.5149542,,,"Primeras 2 veces lo prueba, al 4to intento lo consume",ID1,9,9,sin_fase,0.17135088,0.57171224,,,,-0.0296185,,-0.055346,0.5,6,False,"primeras 2 veces lo prueba, al 4to intento lo consume",0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,,,,,,0,0,0,0,0,0,0,0,0,0,0
10,37.33,2.86,32.93,0,0,0,1,1,0.2963159,0.5407792,0.1181485,0.101003,0.1112219,0.1731236,0.1475703,0.1441858,0.615058,0.7078085,0.6981425,0.4468422,0.4019215,0.3735182,,,,ID1,10,10,sin_fase,0.155938429,0.540581443,,,-0.0069266,-0.0289378,0.0830845,-0.073324,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
11,18.73,1.5,3.43,0,0,0,1,1,0.1731134,0.6060042,0.3526806,0.3398498,0.3439848,0.3779947,0.3484415,0.2716425,0.7884769,0.7919184,0.7794912,0.3779947,0.7829572,0.746807,0.1700296,0.4501564,"1era vez sólo prueba, 2da consume",ID1,11,11,sin_fase,0.297217113,0.66547575,-0.0030838,-0.1558478,-0.0086958,-0.1063522,-0.0089857,0.3688123,1,0,False,"1era vez sólo prueba, 2da consume",0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,,,,,,0,0,0,0,0,0,0,0,0,1,0
12,21.33,3.6,9.9,0,0,0,1,1,0.07553978,0.2475,0.1140817,0.09534588,0.1166821,0.1295681,0.1385231,0.1354775,0.5163332,0.4703329,0.4393002,0.4122861,0.3919372,0.3752003,0.1207989,0.5138189,"1era vez sólo prueba, 2da consume",ID1,12,12,sin_fase,0.115752133,0.4208386,0.04525912,0.2663189,0.0026004,0.0059094,-0.077033,-0.0370858,1,0,False,"1era vez sólo prueba, 2da consume",0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,,,,,,0,0,0,0,0,0,0,0,0,1,0
13,21.29,3.11,10.3,0,0,0,1,1,0.1629333,0.57235,0.3269629,0.4831473,,0.1760402,0.2035878,0.1752403,0.7066146,0.73653,,0.3829641,0.3926499,0.4302371,0.1966855,0.2626756,,ID1,13,13,sin_fase,0.246371043,0.497717329,0.0337522,-0.3096744,,-0.0007999,,0.047273,1,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
14,19.09,0.93,11.1,0,0,0,1,1,,,,0.115516,,0.1292886,0.1709283,0.2395472,,0.4126084,,0.6413258,0.5864004,0.5439318,0.1326854,0.7901102,"2da vez: 0,49 seg después (0,5 FIT_FAILED)",ID1,14,14,sin_fase,0.1575931,0.59487532,,,,0.1102586,,-0.097394,1,6,True,"2da vez 0,49 seg después 0,5 fit_failed",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,0,0,0,0,0,0,0,0,1,1,0
